product_id,product_name,source_model,target_attribute_id,target_attribute_name,existing_target_value,proposed_value,preview_status,evidence
7580,Погружной скважинный насос VINKO 3STM1.8/20 ,3STm 1.8/20,12,Максимальный напор (м),,84,insert,model_exact; unique_active_product
7580,Погружной скважинный насос VINKO 3STM1.8/20 ,3STm 1.8/20,13,Производительность (л/мин),,45,insert,model_exact; unique_active_product
7580,Погружной скважинный насос VINKO 3STM1.8/20 ,3STm 1.8/20,14,Мощность двигателя (кВт),,0.55,insert,model_exact; unique_active_product
7580,Погружной скважинный насос VINKO 3STM1.8/20 ,3STm 1.8/20,15,Напряжение,220,220,skip,model_exact; unique_active_product
7580,Погружной скважинный насос VINKO 3STM1.8/20 ,3STm 1.8/20,125,Минимальный внутренний диаметр обсадной трубы (мм),,85,insert,model_exact; unique_active_product; source_detail_page_normalized_min_casing_inner_diameter_mm
7581,Погружной скважинный насос VINKO 3STM1.8/27 ,3STm 1.8/27,12,Максимальный напор (м),,113,insert,model_exact; unique_active_product
7581,Погружной скважинный насос VINKO 3STM1.8/27 ,3STm 1.8/27,13,Производительность (л/мин),,45,insert,model_exact; unique_active_product
7581,Погружной скважинный насос VINKO 3STM1.8/27 ,3STm 1.8/27,14,Мощность двигателя (кВт),,0.75,insert,model_exact; unique_active_product
7581,Погружной скважинный насос VINKO 3STM1.8/27 ,3STm 1.8/27,15,Напряжение,220,220,skip,model_exact; unique_active_product
7581,Погружной скважинный насос VINKO 3STM1.8/27 ,3STm 1.8/27,125,Минимальный внутренний диаметр обсадной трубы (мм),,85,insert,model_exact; unique_active_product; source_detail_page_normalized_min_casing_inner_diameter_mm
7582,Погружной скважинный насос VINKO 3STM1.8/37 ,3STm 1.8/37,12,Максимальный напор (м),,154,insert,model_exact; unique_active_product
7582,Погружной скважинный насос VINKO 3STM1.8/37 ,3STm 1.8/37,13,Производительность (л/мин),,45,insert,model_exact; unique_active_product
7582,Погружной скважинный насос VINKO 3STM1.8/37 ,3STm 1.8/37,14,Мощность двигателя (кВт),,1.1,insert,model_exact; unique_active_product
7582,Погружной скважинный насос VINKO 3STM1.8/37 ,3STm 1.8/37,15,Напряжение,220,220,skip,model_exact; unique_active_product
7582,Погружной скважинный насос VINKO 3STM1.8/37 ,3STm 1.8/37,125,Минимальный внутренний диаметр обсадной трубы (мм),,85,insert,model_exact; unique_active_product; source_detail_page_normalized_min_casing_inner_diameter_mm
7583,Погружной скважинный насос VINKO 3STM1.8/47 ,3STm 1.8/47,12,Максимальный напор (м),,196,insert,model_exact; unique_active_product
7583,Погружной скважинный насос VINKO 3STM1.8/47 ,3STm 1.8/47,13,Производительность (л/мин),,45,insert,model_exact; unique_active_product
7583,Погружной скважинный насос VINKO 3STM1.8/47 ,3STm 1.8/47,14,Мощность двигателя (кВт),,1.1,insert,model_exact; unique_active_product
7583,Погружной скважинный насос VINKO 3STM1.8/47 ,3STm 1.8/47,15,Напряжение,,220,insert,model_exact; unique_active_product
