source_name,source_base_url,source_page_url,source_product_url,source_card_id,source_title,source_model,source_max_head_label,source_max_head,normalized_max_head_m,source_max_flow_label,source_max_flow,normalized_max_flow_l_min,source_voltage_label,source_voltage,normalized_voltage,source_power_label,source_power,normalized_power_kw,source_diameter_evidence,normalized_diameter_mm,diameter_evidence_type,record_status,review_reason,product_id,product_name,match_status,evidence
Vinko,https://nasosymarket.ru/catalog/vinko/,https://nasosymarket.ru/catalog/vinko/,https://nasosymarket.ru/catalog/vodyanye_nasosy/nasos_pogruzhnoy_skvazhinnyy_vinko_3stm_1_8_20_/,bx_40480796_45361_52eccb44ded0bb34f72b273e9a62ef02,Насос погружной скважинный Vinko 3STm 1.8/20,3STm 1.8/20,Макс. напор:,84 м,84,Макс. производ:,2.71 м³/ч,45,Напряжение:,220 В,220,Макс. мощность:,0.55 кВт,0.55,3STm,,series_size,needs_review,series_diameter_only,7580,Погружной скважинный насос VINKO 3STM1.8/20 ,matched,model_exact; unique_active_product
Vinko,https://nasosymarket.ru/catalog/vinko/,https://nasosymarket.ru/catalog/vinko/,https://nasosymarket.ru/catalog/vodyanye_nasosy/nasos_pogruzhnoy_skvazhinnyy_vinko_3stm_1_8_27/,bx_40480796_45362_d0a71590b973eacbff1119c73534decd,Насос погружной скважинный Vinko 3STm 1.8/27,3STm 1.8/27,Макс. напор:,113 м,113,Макс. производ:,2.71 м³/ч,45,Напряжение:,220 В,220,Макс. мощность:,0.75 кВт,0.75,3STm,,series_size,needs_review,series_diameter_only,7581,Погружной скважинный насос VINKO 3STM1.8/27 ,matched,model_exact; unique_active_product
Vinko,https://nasosymarket.ru/catalog/vinko/,https://nasosymarket.ru/catalog/vinko/,https://nasosymarket.ru/catalog/vodyanye_nasosy/nasos_pogruzhnoy_skvazhinnyy_vinko_3stm_1_8_37/,bx_40480796_45363_405fa73eaca4835adf3c57f863defee8,Насос погружной скважинный Vinko 3STm 1.8/37,3STm 1.8/37,Макс. напор:,154 м,154,Макс. производ:,2.71 м³/ч,45,Напряжение:,220 В,220,Макс. мощность:,1.1 кВт,1.1,3STm,,series_size,needs_review,series_diameter_only,7582,Погружной скважинный насос VINKO 3STM1.8/37 ,matched,model_exact; unique_active_product
Vinko,https://nasosymarket.ru/catalog/vinko/,https://nasosymarket.ru/catalog/vinko/,https://nasosymarket.ru/catalog/vodyanye_nasosy/nasos_pogruzhnoy_skvazhinnyy_vinko_3stm_1_8_47/,bx_40480796_45364_bcdd4f2daf1f375f7393bdaabb43c42c,Насос погружной скважинный Vinko 3STm 1.8/47,3STm 1.8/47,Макс. напор:,196 м,196,Макс. производ:,2.71 м³/ч,45,Напряжение:,220 В,220,Макс. мощность:,1.1 кВт,1.1,3STm,,series_size,needs_review,series_diameter_only,7583,Погружной скважинный насос VINKO 3STM1.8/47 ,matched,model_exact; unique_active_product
Vinko,https://nasosymarket.ru/catalog/vinko/,https://nasosymarket.ru/catalog/vinko/,https://nasosymarket.ru/catalog/vodyanye_nasosy/nasos_pogruzhnoy_skvazhinnyy_vinko_3stm_2_5_20/,bx_40480796_45365_cb72134bda597e13adfc49a01db10c36,Насос погружной скважинный Vinko 3STm 2.5/20,3STm 2.5/20,Макс. напор:,87 м,87,Макс. производ:,3.61 м³/ч,60,Напряжение:,220 В,220,Макс. мощность:,0.75 кВт,0.75,3STm,,series_size,needs_review,series_diameter_only,7587,Погружной скважинный насос VINKO 3STM2.5/20 ,matched,model_exact; unique_active_product
Vinko,https://nasosymarket.ru/catalog/vinko/,https://nasosymarket.ru/catalog/vinko/,https://nasosymarket.ru/catalog/vodyanye_nasosy/nasos_pogruzhnoy_skvazhinnyy_vinko_3stm_2_5_28/,bx_40480796_45366_2d557ec58433dd4c903e3a05b652ad3b,Насос погружной скважинный Vinko 3STm 2.5/28,3STm 2.5/28,Макс. напор:,122 м,122,Макс. производ:,3.61 м³/ч,60,Напряжение:,220 В,220,Макс. мощность:,1.1 кВт,1.1,3STm,,series_size,needs_review,series_diameter_only,7588,Погружной скважинный насос VINKO 3STM2.5/28,matched,model_exact; unique_active_product
Vinko,https://nasosymarket.ru/catalog/vinko/,https://nasosymarket.ru/catalog/vinko/,https://nasosymarket.ru/catalog/vodyanye_nasosy/nasos_pogruzhnoy_skvazhinnyy_vinko_3stm_2_5_36/,bx_40480796_45367_4d476843507a14967898846b3d9dcc46,Насос погружной скважинный Vinko 3STm 2.5/36,3STm 2.5/36,Макс. напор:,156 м,156,Макс. производ:,3.61 м³/ч,60,Напряжение:,220 В,220,Макс. мощность:,1.1 кВт,1.1,3STm,,series_size,needs_review,series_diameter_only,7589,Погружной скважинный насос VINKO 3STM2.5/36 ,matched,model_exact; unique_active_product
Vinko,https://nasosymarket.ru/catalog/vinko/,https://nasosymarket.ru/catalog/vinko/,https://nasosymarket.ru/catalog/vodyanye_nasosy/nasos_pogruzhnoy_skvazhinnyy_vinko_3stm_4_19/,bx_40480796_45368_cdd13bd5ae7b0c257424b2a019fe9c7f,Насос погружной скважинный Vinko 3STm 4/19,3STm 4/19,Макс. напор:,65 м,65,Макс. производ:,4.82 м³/ч,80,Напряжение:,220 В,220,Макс. мощность:,0.75 кВт,0.75,3STm,,series_size,needs_review,series_diameter_only,7594,Погружной скважинный насос VINKO 3STM4/19,matched,model_exact; unique_active_product
Vinko,https://nasosymarket.ru/catalog/vinko/,https://nasosymarket.ru/catalog/vinko/,https://nasosymarket.ru/catalog/vodyanye_nasosy/nasos_pogruzhnoy_skvazhinnyy_vinko_3stm_4_26/,bx_40480796_45369_7336ecc1cc9fc29bbd635a38db819ae7,Насос погружной скважинный Vinko 3STm 4/26,3STm 4/26,Макс. напор:,88 м,88,Макс. производ:,4.82 м³/ч,80,Напряжение:,220 В,220,Макс. мощность:,1.1 кВт,1.1,3STm,,series_size,needs_review,series_diameter_only,7595,Погружной скважинный насос VINKO 3STM4/26,matched,model_exact; unique_active_product
Vinko,https://nasosymarket.ru/catalog/vinko/,https://nasosymarket.ru/catalog/vinko/,https://nasosymarket.ru/catalog/vodyanye_nasosy/nasos_pogruzhnoy_skvazhinnyy_vinko_3stm_4_35/,bx_40480796_45370_17b16917a6b5115092ad464bbbd08140,Насос погружной скважинный Vinko 3STm 4/35,3STm 4/35,Макс. напор:,119 м,119,Макс. производ:,4.82 м³/ч,80,Напряжение:,220 В,220,Макс. мощность:,1.5 кВт,1.5,3STm,,series_size,needs_review,series_diameter_only,7596,Погружной скважинный насос VINKO 3STM4/35,matched,model_exact; unique_active_product
