"product_id","product_name","manufacturer","model","sku","status"
"1935","Погружной скважинный насос VINKO 4STM2/7","VINKO ( Italy)","1935","H30936","1"
"1936","Погружной скважинный насос VINKO 4STM2/10","VINKO ( Italy)","1936","H30932","1"
"1937","Погружной скважинный насос VINKO 4STM2/14","VINKO ( Italy)","1937","H30933","1"
"1938","Погружной скважинный насос VINKO 4STM2/20","VINKO ( Italy)","1938","H30934","1"
"1939","Погружной скважинный насос VINKO 4STM2/28","VINKO ( Italy)","1939","H30935","1"
"1940","Погружной скважинный насос VINKO 4STM2/40","VINKO ( Italy)","1940","H30937","1"
"1941","Погружной скважинный насос VINKO 4ST2/7","VINKO ( Italy)","1941","H30931","1"
"1942","Погружной скважинный насос VINKO 4ST2/10","VINKO ( Italy)","1942","H30928","1"
"1943","Погружной скважинный насос VINKO 4ST2/14","VINKO ( Italy)","1943","H309437","1"
"1944","Погружной скважинный насос  VINKO 4ST2/20","VINKO ( Italy)","1944","H30927","1"
"1945","Погружной скважинный насос VINKO 4ST2/28","VINKO ( Italy)","1945","H30929","1"
"1946","Погружной скважинный насос VINKO 4ST2/40","VINKO ( Italy)","1946","H30930","1"
"1947","Погружной скважинный насос VINKO 4ST4/5","VINKO ( Italy)","1947","H309439","1"
"1948","Погружной скважинный насос  VINKO 4STM4/7","VINKO ( Italy)","1948","H309440","1"
"1949","Погружной скважинный насос VINKO 4STM4/9","VINKO ( Italy)","1949","H309441","1"
"1950","Погружной скважинный насос VINKO 4STM4/14","VINKO ( Italy)","1950","H309442","1"
"1951","Погружной скважинный насос VINKO 4STM4/18","VINKO ( Italy)","1951","H309443","1"
"1952","Погружной скважинный насос VINKO 4STM4/27","VINKO ( Italy)","1952","H309444","1"
"1953","Погружной скважинный насос VINKO 4STM4/35","VINKO ( Italy)","1953","H309445","1"
"1954","Погружной скважинный насос VINKO 4 STM 4/48","VINKO ( Italy)","1954","H309446","1"
"1955","Погружной скважинный насос VINKO 4ST4/5","VINKO ( Italy)","1955","H309447","1"
"1956","Погружной скважинный насос VINKO 4ST4/7","VINKO ( Italy)","1956","H309448","1"
"1957","Погружной скважинный насос VINKO 4ST4/9","VINKO ( Italy)","1957","H309449","1"
"1958","Погружной скважинный насос  VINKO 4ST4/14","VINKO ( Italy)","1958","H309450","1"
"1959","Погружной скважинный насос VINKO 4ST4/18","VINKO ( Italy)","1959","H30945","1"
"1960","Погружной скважинный насос VINKO 4ST4/27","VINKO ( Italy)","1960",,"1"
"1961","Погружной скважинный насос VINKO 4ST4/35","VINKO ( Italy)","1961","H30946","1"
"1962","Погружной скважинный насос VINKO 4 ST  4/48","VINKO ( Italy)","1962","H30947","1"
"1963","Погружной скважинный насос VINKO 4ST4/60","VINKO ( Italy)","1963","H30948","1"
"1964","Погружной скважинный насос VINKO 4STM6/7","VINKO ( Italy)","1964","H30949","1"
"1965","Погружной скважинный насос VINKO 4STM6/10","VINKO ( Italy)","1965","H30950","1"
"1966","Погружной скважинный насос VINKO 4STM6/14","VINKO ( Italy)","1966","H30951","1"
"1967","Погружной скважинный насос VINKO 4STM6/20","VINKO ( Italy)","1967","H30952","1"
"1968","Погружной скважинный насос VINKO 4STM6/7 (380V)","VINKO ( Italy)","1968","H30952","0"
"1969","Погружной скважинный насос VINKO STM6/10","VINKO ( Italy)","1969","H30953","1"
"1970","Погружной скважинный насос VINKO 4ST6/14  (380V)","VINKO ( Italy)","1970","H30954","1"
"1971","Погружной скважинный насос VINKO 4 ST 6/20 (380V)","VINKO ( Italy)","1971","H30955","1"
"1972","Погружной скважинный насос VINKO 4 ST 6/27 (380V)","VINKO ( Italy)","1972","H30956","1"
"1973","Погружной скважинный насос VINKO 4ST6/36  (380V)","VINKO ( Italy)","1973","H30957","1"
"1974","Погружной скважинный насос VINKO 4ST6/49  (380V)","VINKO ( Italy)","1974","H30958","1"
"1975","Погружной скважинный насос VINKO 4STM8/4","VINKO ( Italy)","1975","H30940","1"
"1976","Погружной скважинный насос VINKO 4STM8/6","VINKO ( Italy)","1976","H30938","1"
"1977","Погружной скважинный насос VINKO 4STM8/8","VINKO ( Italy)","1977","H30937","1"
"1978","Погружной скважинный насос VINKO 4STM8/13","VINKO ( Italy)","1978","H30939","1"
"1979","Погружной скважинный насос VINKO 4ST8/4","VINKO ( Italy)","1979","H30941","1"
"1980","Погружной скважинный насос VINKO 4ST8/6","VINKO ( Italy)","1980","H309412","1"
"1981","Погружной скважинный насос VINKO 4ST8/8","VINKO ( Italy)","1981","H309413","1"
"1982","Погружной скважинный насос VINKO 4ST8/13","VINKO ( Italy)","1982","H309414","1"
"1983","Погружной скважинный насос VINKO 4ST8/17","VINKO ( Italy)","1983","H309415","1"
"1984","Погружной скважинный насос VINKO 4ST8/23","VINKO ( Italy)","1984","H309416","1"
