"product_id","product_name","existing_max_head_m","existing_flow_l_min","existing_power_kw","existing_voltage_v"
"1935","Погружной скважинный насос VINKO 4STM2/7",NULL,NULL,NULL,"220"
"1936","Погружной скважинный насос VINKO 4STM2/10",NULL,NULL,NULL,"220"
"1937","Погружной скважинный насос VINKO 4STM2/14",NULL,NULL,NULL,"220"
"1938","Погружной скважинный насос VINKO 4STM2/20",NULL,NULL,NULL,"220"
"1939","Погружной скважинный насос VINKO 4STM2/28",NULL,NULL,NULL,"220"
"1940","Погружной скважинный насос VINKO 4STM2/40",NULL,NULL,NULL,"220"
"1941","Погружной скважинный насос VINKO 4ST2/7",NULL,NULL,NULL,"380"
"1942","Погружной скважинный насос VINKO 4ST2/10",NULL,NULL,NULL,"380"
"1943","Погружной скважинный насос VINKO 4ST2/14",NULL,NULL,NULL,"380"
"1944","Погружной скважинный насос  VINKO 4ST2/20",NULL,NULL,NULL,"380"
"1945","Погружной скважинный насос VINKO 4ST2/28",NULL,NULL,NULL,"380"
"1946","Погружной скважинный насос VINKO 4ST2/40",NULL,NULL,NULL,"380"
"1948","Погружной скважинный насос  VINKO 4STM4/7",NULL,NULL,NULL,"220"
"1949","Погружной скважинный насос VINKO 4STM4/9",NULL,NULL,NULL,"220"
"1950","Погружной скважинный насос VINKO 4STM4/14",NULL,NULL,NULL,"220"
"1951","Погружной скважинный насос VINKO 4STM4/18",NULL,NULL,NULL,"220"
"1952","Погружной скважинный насос VINKO 4STM4/27",NULL,NULL,NULL,"220"
"1953","Погружной скважинный насос VINKO 4STM4/35",NULL,NULL,NULL,"220"
"1954","Погружной скважинный насос VINKO 4 STM 4/48",NULL,NULL,NULL,"220"
"1956","Погружной скважинный насос VINKO 4ST4/7",NULL,NULL,NULL,"380"
"1957","Погружной скважинный насос VINKO 4ST4/9",NULL,NULL,NULL,"380"
"1958","Погружной скважинный насос  VINKO 4ST4/14",NULL,NULL,NULL,"380"
"1959","Погружной скважинный насос VINKO 4ST4/18",NULL,NULL,NULL,"380"
"1960","Погружной скважинный насос VINKO 4ST4/27",NULL,NULL,NULL,"380"
"1961","Погружной скважинный насос VINKO 4ST4/35",NULL,NULL,NULL,"380"
"1962","Погружной скважинный насос VINKO 4 ST  4/48",NULL,NULL,NULL,"380"
"1964","Погружной скважинный насос VINKO 4STM6/7",NULL,NULL,NULL,"220"
"1965","Погружной скважинный насос VINKO 4STM6/10",NULL,NULL,NULL,"220"
"1966","Погружной скважинный насос VINKO 4STM6/14",NULL,NULL,NULL,"220"
"1967","Погружной скважинный насос VINKO 4STM6/20",NULL,NULL,NULL,"220"
"1970","Погружной скважинный насос VINKO 4ST6/14  (380V)",NULL,NULL,NULL,"380"
"1971","Погружной скважинный насос VINKO 4 ST 6/20 (380V)",NULL,NULL,NULL,"380"
"1972","Погружной скважинный насос VINKO 4 ST 6/27 (380V)",NULL,NULL,NULL,"380"
"1973","Погружной скважинный насос VINKO 4ST6/36  (380V)",NULL,NULL,NULL,"380"
"1974","Погружной скважинный насос VINKO 4ST6/49  (380V)",NULL,NULL,NULL,"380"
"1975","Погружной скважинный насос VINKO 4STM8/4",NULL,NULL,NULL,"220"
"1976","Погружной скважинный насос VINKO 4STM8/6",NULL,NULL,NULL,"220"
"1977","Погружной скважинный насос VINKO 4STM8/8",NULL,NULL,NULL,"220"
"1978","Погружной скважинный насос VINKO 4STM8/13",NULL,NULL,NULL,"220"
"1979","Погружной скважинный насос VINKO 4ST8/4",NULL,NULL,NULL,"380"
"1980","Погружной скважинный насос VINKO 4ST8/6",NULL,NULL,NULL,"380"
"1981","Погружной скважинный насос VINKO 4ST8/8",NULL,NULL,NULL,"380"
"1982","Погружной скважинный насос VINKO 4ST8/13",NULL,NULL,NULL,"380"
"1983","Погружной скважинный насос VINKO 4ST8/17",NULL,NULL,NULL,"380"
"1984","Погружной скважинный насос VINKO 4ST8/23",NULL,NULL,NULL,"380"
"1985","Погружной скважинный насос VINKO 4ST8/32",NULL,NULL,NULL,"380"
"1987","Погружной скважинный насос VINKO 4STM10/7",NULL,NULL,NULL,"220"
"1988","Погружной скважинный насос VINKO 4STM10/10",NULL,NULL,NULL,"220"
"1989","Погружной скважинный насос VINKO 4STM10/14",NULL,NULL,NULL,"220"
"1990","Погружной скважинный насос VINKO 4ST10/7",NULL,NULL,NULL,"380"
"1991","Погружной скважинный насос VINKO 4ST10/10",NULL,NULL,NULL,"380"
"1992","Погружной скважинный насос VINKO 4ST10/14",NULL,NULL,NULL,"380"
"1993","Погружной скважинный насос VINKO 4ST10/18",NULL,NULL,NULL,"380"
"1994","Погружной скважинный насос VINKO 4ST10/24",NULL,NULL,NULL,"380"
"1995","Погружной скважинный насос VINKO 4ST10/32",NULL,NULL,NULL,"380"
"1997","Погружной скважинный насос VINKO 4STM 12/7",NULL,NULL,NULL,"220"
"1999","Погружной скважинный насос VINKO 4ST12/7 (380V)",NULL,NULL,NULL,"380"
"2000","Погружной скважинный насос VINKO 4ST12/10",NULL,NULL,NULL,"380"
"2001","Погружной скважинный насос VINKO 4ST12/14",NULL,NULL,NULL,"380"
"2002","Погружной скважинный насос VINKO 4ST12/19",NULL,NULL,NULL,"380"
"2003","Погружной скважинный насос VINKO 4ST12/26",NULL,NULL,NULL,"380"
"7580","Погружной скважинный насос VINKO 3STM1.8/20 ",NULL,NULL,NULL,"220"
"7581","Погружной скважинный насос VINKO 3STM1.8/27 ",NULL,NULL,NULL,"220"
"7582","Погружной скважинный насос VINKO 3STM1.8/37 ",NULL,NULL,NULL,"220"
"7583","Погружной скважинный насос VINKO 3STM1.8/47 ",NULL,NULL,NULL,NULL
"7587","Погружной скважинный насос VINKO 3STM2.5/20 ",NULL,NULL,NULL,"220"
"7588","Погружной скважинный насос VINKO 3STM2.5/28",NULL,NULL,NULL,"220"
"7589","Погружной скважинный насос VINKO 3STM2.5/36 ",NULL,NULL,NULL,"220"
"7594","Погружной скважинный насос VINKO 3STM4/19",NULL,NULL,NULL,"220"
"7595","Погружной скважинный насос VINKO 3STM4/26",NULL,NULL,NULL,"220"
"7596","Погружной скважинный насос VINKO 3STM4/35",NULL,NULL,NULL,"220"
"7601","Погружной скважинный насос VINKO 3STM5/19",NULL,NULL,NULL,"220"
"7602","Погружной скважинный насос VINKO 3STM5/26",NULL,NULL,NULL,"220"
"7604","Погружной скважинный насос VINKO 6ST18/13 ",NULL,NULL,NULL,"380"
"7605","Погружной скважинный насос VINKO 6ST18/15 ",NULL,NULL,NULL,"380"
"7606","Погружной скважинный насос VINKO 6ST18/18 ",NULL,NULL,NULL,"380"
"7613","Погружной скважинный насос VINKO 6ST30/15",NULL,NULL,NULL,"380"
"7614","Погружной скважинный насос VINKO 6ST30/18 ",NULL,NULL,NULL,"380"
