source_catalog_url,source_page_url,source_product_url,raw_product_name,normalized_model,raw_max_head,normalized_max_head_m,raw_max_flow,normalized_max_flow_l_min,raw_power,normalized_power_kw,raw_voltage,normalized_voltage_v,raw_temperature,raw_min_casing_inner_diameter,normalized_min_casing_inner_diameter_mm,parse_status,review_reason
https://nasosymarket.ru/catalog/grundfos_2/,https://nasosymarket.ru/catalog/grundfos_2/,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyi_nasos_grundfos_sqe_2_55_mse3/,Скважинный насос Grundfos SQE 2-55,SQE 2-55,65,65,3,50,1050,1.05,220,220,,80,80,ok,
https://nasosymarket.ru/catalog/grundfos_2/,https://nasosymarket.ru/catalog/grundfos_2/,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyi_nasos_grundfos_sqe_2_70/,Скважинный насос Grundfos SQE 2-70,SQE 2-70,89,89,3,50,1550,1.55,220,220,,80,80,ok,
https://nasosymarket.ru/catalog/grundfos_2/,https://nasosymarket.ru/catalog/grundfos_2/,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyi_nasos_grundfos_sqe_2_85_mse3/,Скважинный насос Grundfos SQE 2-85,SQE 2-85,109,109,3,50,1550,1.55,220,220,,80,80,ok,
https://nasosymarket.ru/catalog/grundfos_2/,https://nasosymarket.ru/catalog/grundfos_2/,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_nasos_grundfos_sq_1_95_ms3/,Скважинный насос Grundfos SQ 1-95,SQ 1-95,142,142,1.68,28,1550,1.55,220,220,,80,80,ok,
https://nasosymarket.ru/catalog/grundfos_2/,https://nasosymarket.ru/catalog/grundfos_2/,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_nasos_grundfos_sq_2_115/,Скважинный насос Grundfos SQ 2-115,SQ 2-115,155,155,3.36,56,2460,2.46,220,220,,80,80,ok,
https://nasosymarket.ru/catalog/grundfos_2/,https://nasosymarket.ru/catalog/grundfos_2/,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_nasos_grundfos_sq_2_55/,Скважинный насос Grundfos SQ 2-55,SQ 2-55,68,68,3.36,56,1000,1,220,220,,80,80,ok,
https://nasosymarket.ru/catalog/grundfos_2/,https://nasosymarket.ru/catalog/grundfos_2/,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_nasos_grundfos_sq_2_70/,Скважинный насос Grundfos SQ 2-70,SQ 2-70,89,89,3.36,56,1550,1.55,220,220,,80,80,ok,
https://nasosymarket.ru/catalog/grundfos_2/,https://nasosymarket.ru/catalog/grundfos_2/,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_nasos_grundfos_sq_2_85/,Скважинный насос Grundfos SQ 2-85,SQ 2-85,109,109,3.36,56,1550,1.55,220,220,,80,80,ok,
https://nasosymarket.ru/catalog/grundfos_2/,https://nasosymarket.ru/catalog/grundfos_2/,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_nasos_grundfos_sq_3_105_ms3/,Скважинный насос Grundfos SQ 3-105,SQ 3-105,145,145,4.38,73,2460,2.46,220,220,,80,80,ok,
https://nasosymarket.ru/catalog/grundfos_2/,https://nasosymarket.ru/catalog/grundfos_2/,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_nasos_grundfos_sq_3_65/,Скважинный насос Grundfos SQ 3-65,SQ 3-65,92,92,4.38,73,1550,1.55,220,220,,80,80,ok,
https://nasosymarket.ru/catalog/grundfos_2/,https://nasosymarket.ru/catalog/grundfos_2/,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_nasos_grundfos_sq_3_80/,Скважинный насос Grundfos SQ 3-80,SQ 3-80,110,110,4.38,73,2050,2.05,220,220,,80,80,ok,
https://nasosymarket.ru/catalog/grundfos_2/,https://nasosymarket.ru/catalog/grundfos_2/,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_nasos_grundfos_sqe_5_70_/,Скважинный насос Grundfos SQ 5-70,SQ 5-70,106,106,7.32,122,2460,2.46,220,220,,80,80,needs_review,url_model_series_mismatch
https://nasosymarket.ru/catalog/grundfos_2/,https://nasosymarket.ru/catalog/grundfos_2/?PAGEN_1=2,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyi_nasos_grundfos_sqe_2_115_mse3/,Скважинный насос Grundfos SQE 2-115,SQE 2-115,153,153,3,50,2460,2.46,220,220,,80,80,ok,
https://nasosymarket.ru/catalog/grundfos_2/,https://nasosymarket.ru/catalog/grundfos_2/?PAGEN_1=2,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_nasos_grundfos_sp_5a_25_3x400v/,Скважинный насос Grundfos SP 5A-25 3x400В,SP 5A-25 3x400В,159.4,159.4,6.77,113,2200,2.2,380,380,,110,110,ok,
https://nasosymarket.ru/catalog/grundfos_2/,https://nasosymarket.ru/catalog/grundfos_2/?PAGEN_1=2,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_nasos_grundfos_sp_5a_33_3x400v/,Скважинный насос Grundfos SP 5A-33 3x400В,SP 5A-33 3x400В,210.3,210.3,6.77,113,3000,3,380,380,,120,120,ok,
https://nasosymarket.ru/catalog/grundfos_2/,https://nasosymarket.ru/catalog/grundfos_2/?PAGEN_1=2,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_nasos_grundfos_sq_1_140/,Скважинный насос Grundfos SQ 1-140,SQ 1-140,206,206,1.68,28,2050,2.05,220,220,,80,80,ok,
https://nasosymarket.ru/catalog/grundfos_2/,https://nasosymarket.ru/catalog/grundfos_2/?PAGEN_1=2,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_nasos_grundfos_sqe_1_155/,Скважинный насос Grundfos SQE 1-155,SQE 1-155,237,237,1.68,28,2460,2.46,220,220,,80,80,ok,
https://nasosymarket.ru/catalog/grundfos_2/,https://nasosymarket.ru/catalog/grundfos_2/?PAGEN_1=2,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_nasos_grundfos_sqe_2_55_komplekt/,Скважинный насос Grundfos SQE 2-55 комплект,SQE 2-55 комплект,65,65,3,50,1050,1.05,220,220,,80,80,ok,
https://nasosymarket.ru/catalog/grundfos_2/,https://nasosymarket.ru/catalog/grundfos_2/?PAGEN_1=2,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_nasos_grundfos_sqe_2_70_komplekt_/,Скважинный насос Grundfos SQE 2-70 комплект,SQE 2-70 комплект,89,89,3,50,1550,1.55,220,220,,80,80,ok,
