model,voltage,power_kw,max_head_m,max_flow_l_min,diameter_mm,diameter_raw,source,status
4SRM2/7,220,0.37,45,60,96,4SR heuristic,manual_table_4sr2,ok
4SRM2/10,220,0.55,65,60,96,4SR heuristic,manual_table_4sr2,ok
4SRM2/13,220,0.75,84,60,96,4SR heuristic,manual_table_4sr2,ok
4SRM2/20,220,1.1,130,60,96,4SR heuristic,manual_table_4sr2,ok
4SRM2/27,220,1.5,175,60,96,4SR heuristic,manual_table_4sr2,ok
4SRM2/39,220,2.2,253,60,96,4SR heuristic,manual_table_4sr2,ok
4SR2/7,380,0.37,45,60,96,4SR heuristic,manual_table_4sr2,ok
4SR2/10,380,0.55,65,60,96,4SR heuristic,manual_table_4sr2,ok
4SR2/13,380,0.75,84,60,96,4SR heuristic,manual_table_4sr2,ok
4SR2/20,380,1.1,130,60,96,4SR heuristic,manual_table_4sr2,ok
4SR2/27,380,1.5,175,60,96,4SR heuristic,manual_table_4sr2,ok
4SR2/39,380,2.2,253,60,96,4SR heuristic,manual_table_4sr2,ok
4SRM4/5,220,0.37,32,100,96,4SR heuristic,manual_table_4sr4,ok
4SRM4/7,220,0.55,45,100,96,4SR heuristic,manual_table_4sr4,ok
4SRM4/9,220,0.75,57,100,96,4SR heuristic,manual_table_4sr4,ok
4SRM4/14,220,1.1,90,100,96,4SR heuristic,manual_table_4sr4,ok
4SRM4/18,220,1.5,115,100,96,4SR heuristic,manual_table_4sr4,ok
4SRM4/26,220,2.2,173,100,96,4SR heuristic,manual_table_4sr4,ok
4SRM4/35,220,3.0,225,100,96,4SR heuristic,manual_table_4sr4,ok
4SRM4/46,220,4.0,308,100,96,4SR heuristic,manual_table_4sr4,ok
4SR4/5,380,0.37,32,100,96,4SR heuristic,manual_table_4sr4,ok
4SR4/7,380,0.55,45,100,96,4SR heuristic,manual_table_4sr4,ok
4SR4/9,380,0.75,57,100,96,4SR heuristic,manual_table_4sr4,ok
4SR4/14,380,1.1,90,100,96,4SR heuristic,manual_table_4sr4,ok
4SR4/18,380,1.5,115,100,96,4SR heuristic,manual_table_4sr4,ok
4SR4/26,380,2.2,173,100,96,4SR heuristic,manual_table_4sr4,ok
4SR4/35,380,3.0,225,100,96,4SR heuristic,manual_table_4sr4,ok
4SR4/46,380,4.0,308,100,96,4SR heuristic,manual_table_4sr4,ok
4SR4/60,380,5.5,405,100,96,4SR heuristic,manual_table_4sr4,ok
4SRM6/7,220,0.75,42,160,96,4SR heuristic,manual_table_4sr6,ok
4SRM6/10,220,1.1,60,160,96,4SR heuristic,manual_table_4sr6,ok
4SRM6/14,220,1.5,84,160,96,4SR heuristic,manual_table_4sr6,ok
