product_id,home_name,home_model,home_voltage_from_name,home_norm_model,match_key_home,source_title,source_model,source_voltage,match_key_source,closest_source_model,closest_source_norm_model,max_head_m,max_flow_original,max_flow_l_min,voltage,power_kw,diameter_raw,diameter_mm,source_url,source_status,source_used,match_status
1812,Погружной скважинный насос SUMOTO 3OPC1.8/47,3OPC1.8/47,,3OPC1.8/47,3OPC1.8/47,,3OPC1.8/47,,3OPC1.8/47,3OPC1.8/47,3OPC1.8/47,196,,45,220,1.5,3OPC heuristic,76,,ok,manual,matched
1813,Погружной скважинный насос SUMOTO 3OPC1.8/7,3OPC1.8/7,,3OPC1.8/7,3OPC1.8/7,,3OPC1.8/7,,3OPC1.8/7,3OPC1.8/7,3OPC1.8/7,30,,45,220,0.18,3OPC heuristic,76,,ok,manual,matched
1814,Погружной скважинный насос SUMOTO 3OPC1.8/10,3OPC1.8/10,,3OPC1.8/10,3OPC1.8/10,,3OPC1.8/10,,3OPC1.8/10,3OPC1.8/10,3OPC1.8/10,42,,45,220,0.25,3OPC heuristic,76,,ok,manual,matched
1815,Погружной скважинный насос SUMOTO 3OPC1.8/14,3OPC1.8/14,,3OPC1.8/14,3OPC1.8/14,,3OPC1.8/14,,3OPC1.8/14,3OPC1.8/14,3OPC1.8/14,59,,45,220,0.37,3OPC heuristic,76,,ok,manual,matched
1816,Погружной скважинный насос SUMOTO 3OPC1.8/20,3OPC1.8/20,,3OPC1.8/20,3OPC1.8/20,,3OPC1.8/20,,3OPC1.8/20,3OPC1.8/20,3OPC1.8/20,84,,45,220,0.55,3OPC heuristic,76,,ok,manual,matched
1817,Погружной скважинный насос SUMOTO 3OPC1.8/27,3OPC1.8/27,,3OPC1.8/27,3OPC1.8/27,,3OPC1.8/27,,3OPC1.8/27,3OPC1.8/27,3OPC1.8/27,113,,45,220,0.75,3OPC heuristic,76,,ok,manual,matched
1818,Погружной скважинный насос SUMOTO 3OPC1.8/37,3OPC1.8/37,,3OPC1.8/37,3OPC1.8/37,,3OPC1.8/37,,3OPC1.8/37,3OPC1.8/37,3OPC1.8/37,154,,45,220,1.1,3OPC heuristic,76,,ok,manual,matched
1819,Погружной скважинный насос SUMOTO 3OPC2.5/5,3OPC2.5/5,,3OPC2.5/5,3OPC2.5/5,,3OPC2.5/5,,3OPC2.5/5,3OPC2.5/5,3OPC2.5/5,24,,60,220,0.18,3OPC heuristic,76,,ok,manual,matched
1820,Погружной скважинный насос SUMOTO 3OPC2.5/7,3OPC2.5/7,,3OPC2.5/7,3OPC2.5/7,,3OPC2.5/7,,3OPC2.5/7,3OPC2.5/7,3OPC2.5/7,32,,60,220,0.25,3OPC heuristic,76,,ok,manual,matched
1821,Погружной скважинный насос SUMOTO 3OPC2.5/10,3OPC2.5/10,,3OPC2.5/10,3OPC2.5/10,,3OPC2.5/10,,3OPC2.5/10,3OPC2.5/10,3OPC2.5/10,44,,60,220,0.37,3OPC heuristic,76,,ok,manual,matched
1822,Погружной скважинный насос SUMOTO 3OPC2.5/15,3OPC2.5/15,,3OPC2.5/15,3OPC2.5/15,,3OPC2.5/15,,3OPC2.5/15,3OPC2.5/15,3OPC2.5/15,65,,60,220,0.55,3OPC heuristic,76,,ok,manual,matched
1823,Погружной скважинный насос SUMOTO 3OPC2.5/20,3OPC2.5/20,,3OPC2.5/20,3OPC2.5/20,,3OPC2.5/20,,3OPC2.5/20,3OPC2.5/20,3OPC2.5/20,87,,60,220,0.75,3OPC heuristic,76,,ok,manual,matched
1824,Погружной скважинный насос SUMOTO 3OPC2.5/28,3OPC2.5/28,,3OPC2.5/28,3OPC2.5/28,,3OPC2.5/28,,3OPC2.5/28,3OPC2.5/28,3OPC2.5/28,122,,60,220,1.1,3OPC heuristic,76,,ok,manual,matched
1825,Погружной скважинный насос SUMOTO 3OPC2.5/36,3OPC2.5/36,,3OPC2.5/36,3OPC2.5/36,,3OPC2.5/36,,3OPC2.5/36,3OPC2.5/36,3OPC2.5/36,156,,60,220,1.5,3OPC heuristic,76,,ok,manual,matched
1826,Погружной скважинный насос SUMOTO 3OPC4/7,3OPC4/7,,3OPC4/7,3OPC4/7,,3OPC4/7,,3OPC4/7,3OPC4/7,3OPC4/7,24,,80,220,0.25,3OPC heuristic,76,,ok,manual,matched
1827,Погружной скважинный насос SUMOTO 3OPC4/9,3OPC4/9,,3OPC4/9,3OPC4/9,,3OPC4/9,,3OPC4/9,3OPC4/9,3OPC4/9,31,,80,220,0.37,3OPC heuristic,76,,ok,manual,matched
