title,model,series,max_head_m,nominal_head_m,max_flow_original,max_flow_l_min,nominal_flow_original,nominal_flow_l_min,voltage,power_kw,diameter_raw,diameter_mm,source_url,status
Скважинный насос Sumoto 4SR 10/39,4SR10/39,4SR,270,175,"14,4 м3/час",240,9 м3/час,150,380,7.5,"100 мм (4"")",100,https://official-sumoto.ru/product/skvazhinnyi_nasos_sumoto_4sr_10_39/,ok
Погружной скважинный насос SUMOTO OPC 4SRM8/43,4SR 8/43,4SR,,216,12 м3/час,200,"7,2- м3/час",,380,,"100 мм (4"")",100,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_opc_4srm8_43/,missing_data
Погружной скважинный насос SUMOTO OPC 4SRM4/5,OPC 4SRM4/5,4SR,,,,,,,230,,,,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_opc_4srm4_5/,missing_data
Погружной скважинный насос SUMOTO OPC 4SRM4/26,4SRM4/26,4SR,170,130,6 м3/час,100,3.6 м3/час,60,230,,"100 мм (4"")",100,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_opc_4srm4_26/,ok
Погружной скважинный насос SUMOTO OPC 4SRM4/18,OPC 4SRM4/18,4SR,120,98,6 м3/час,100,3.0 м3/час,50,230,,"100 мм (4"")",100,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_opc_4srm4_18/,ok
Погружной скважинный насос SUMOTO OPC 4SRM12/33,4SR 12/33,4SR,,133,"16,2 м3/час",270,- 9- м3/час,,380,,"100 мм (4"")",100,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_opc_4srm12_33/,missing_data
Погружной скважинный насос SUMOTO OPC 4SR8/32,4SR8/32,4SR,200,169,12 м3/час,200,4.8м3/час,80,380,5.5,"100 мм (4"")",100,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_opc_4sr8_32/,ok
Погружной скважинный насос SUMOTO OPC 4SR8/23,4SR8/23,4SR,143,121,12 м3/час,200,4.8 м3/час,80,380,4,"100 мм (4"")",100,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_opc_4sr8_23/,ok
Погружной скважинный насос SUMOTO OPC 4SR6/49,4SR6/49,4SR,294,245,"9,6 м3/час",160,3.6 м3/час,60,380,5.5,"100 мм (4"")",100,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_opc_4sr6_49/,ok
Погружной скважинный насос SUMOTO OPC 4SR6/36,4SR6/36,4SR,216,180,"9,6 м3/час",160,3.6 м3/час,60,380,4,"100 мм (4"")",100,https://official-sumoto.ru/product/pogruzhnoi_skvazhinnyi_nasos_sumoto_opc_4sr6_36/,ok
