card_id,title,model,max_head_m,max_flow_original,max_flow_l_min,voltage,power_kw,diameter_raw,diameter_mm,source_url,status
bx_40480796_46321_52eccb44ded0bb34f72b273e9a62ef02,Скважинный погружной насос Sumoto 3OPC1.8/14,3OPC1.8/14,59,2.71 м³/ч,45.17,220,0.37,,,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_pogruzhnoy_nasos_sumoto_3opc1_8_14/,needs_check
bx_40480796_44425_d0a71590b973eacbff1119c73534decd,Скважинный погружной насос Sumoto 3OPC1.8/20,3OPC1.8/20,84,2.71 м³/ч,45.17,220,0.55,,,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_pogruzhnoy_nasos_sumoto_3shm_1_8_20/,needs_check
bx_40480796_46320_cdd13bd5ae7b0c257424b2a019fe9c7f,Скважинный погружной насос Sumoto 3OPC1.8/27,3OPC1.8/27,113,2.71 м³/ч,45.17,220,0.75,,,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_pogruzhnoy_nasos_sumoto_3opc1_8_27/,needs_check
bx_40480796_44420_f342bcc33e6b8f41085bb8fa088a5e19,Скважинный погружной насос Sumoto 3OPC4/19,3OPC4/19,65,4.82 м³/ч,80.33,220,0.75,,,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_pogruzhnoy_nasos_sumoto_3shm_4_19/,needs_check
bx_40480796_46319_cb72134bda597e13adfc49a01db10c36,Скважинный погружной насос Sumoto OPC 4SR4/14 (380в),OPC 4SR4/14 (380в),90,6.02 м³/ч,100.33,380,1.1,,,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_pogruzhnoy_nasos_sumoto_opc_4sr4_14_380v/,needs_check
bx_40480796_44423_405fa73eaca4835adf3c57f863defee8,Скважинный погружной насос Sumoto 3OPC5/19,3OPC5/19,68,6.02 м³/ч,100.33,220,1.1,,,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_pogruzhnoy_nasos_sumoto_3shm_5_19/,needs_check
bx_40480796_44417_2d557ec58433dd4c903e3a05b652ad3b,Скважинный погружной насос Sumoto 3OPC2.5/20,3OPC2.5/20,87,3.61 м³/ч,60.17,220,0.75,,,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_pogruzhnoy_nasos_sumoto_3shm_2_5_20/,needs_check
bx_40480796_44427_7336ecc1cc9fc29bbd635a38db819ae7,Скважинный погружной насос Sumoto 3OPC1.8/37,3OPC1.8/37,154,2.71 м³/ч,45.17,220,1.1,,,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_pogruzhnoy_nasos_sumoto_3shm_1_8_37/,needs_check
bx_40480796_44394_17b16917a6b5115092ad464bbbd08140,Скважинный погружной насос Sumoto OPC 4SRm4/14,OPC 4SRm4/14,92,6.02 м³/ч,100.33,220,1.1,,,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_pogruzhnoy_nasos_sumoto_4srm_4_14/,needs_check
bx_40480796_44418_bcdd4f2daf1f375f7393bdaabb43c42c,Скважинный погружной насос Sumoto 3OPC2.5/28,3OPC2.5/28,122,3.61 м³/ч,60.17,220,1.1,,,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_pogruzhnoy_nasos_sumoto_3shm_2_5_28/,needs_check
bx_40480796_44421_ceff6ff2fb7e75cfd3194733fb4b61ca,Скважинный погружной насос Sumoto 3OPC4/26,3OPC4/26,196,4.82 м³/ч,80.33,220,1.1,,,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_pogruzhnoy_nasos_sumoto_3shm_4_26/,needs_check
bx_40480796_44422_4d476843507a14967898846b3d9dcc46,Скважинный погружной насос Sumoto 3OPC4/35,3OPC4/35,119,4.82 м³/ч,80.33,220,1.5,,,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_pogruzhnoy_nasos_sumoto_3shm_4_35/,needs_check
bx_40480796_44392_52eccb44ded0bb34f72b273e9a62ef02,Скважинный погружной насос Sumoto OPC 4SRm2/20,OPC 4SRm2/20,130,3.61 м³/ч,60.17,220,1.1,,,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_pogruzhnoy_nasos_sumoto_4srm_2_20/,needs_check
bx_40480796_44416_d0a71590b973eacbff1119c73534decd,Скважинный погружной насос Sumoto 3OPC1.8/47,3OPC1.8/47,196,2.71 м³/ч,45.17,220,1.5,,,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_pogruzhnoy_nasos_sumoto_3shm_1_8_47/,needs_check
