"product_id";"name";"model";"manufacturer"
"1812";"Погружной скважинный насос SUMOTO 3OPC1.8/47";"1812";"Sumoto"
"1813";"Погружной скважинный насос SUMOTO 3OPC1.8/7";"1813";"Sumoto"
"1814";"Погружной скважинный насос SUMOTO 3OPC1.8/10";"1814";"Sumoto"
"1815";"Погружной скважинный насос SUMOTO 3OPC1.8/14";"1815";"Sumoto"
"1816";"Погружной скважинный насос SUMOTO 3OPC1.8/20";"1816";"Sumoto"
"1817";"Погружной скважинный насос SUMOTO 3OPC1.8/27";"1817";"Sumoto"
"1818";"Погружной скважинный насос SUMOTO 3OPC1.8/37";"1818";"Sumoto"
"1819";"Погружной скважинный насос SUMOTO 3OPC2.5/5";"1819";"Sumoto"
"1820";"Погружной скважинный насос SUMOTO 3OPC2.5/7 ";"1820";"Sumoto"
"1821";"Погружной скважинный насос SUMOTO 3OPC2.5/10";"1821";"Sumoto"
"1822";"Погружной скважинный насос SUMOTO 3OPC2.5/15";"1822";"Sumoto"
"1823";"Погружной скважинный насос SUMOTO 3OPC2.5/20  ";"1823";"Sumoto"
"1824";"Погружной скважинный насос SUMOTO 3OPC2.5/28  ";"1824";"Sumoto"
"1825";"Погружной скважинный насос SUMOTO 3OPC2.5/36  ";"1825";"Sumoto"
"1826";"Погружной скважинный насос SUMOTO 3OPC4/7";"1826";"Sumoto"
"1827";"Погружной скважинный насос SUMOTO 3OPC4/9";"1827";"Sumoto"
"1828";"Погружной скважинный насос SUMOTO 3OPC4/14";"1828";"Sumoto"
"1829";"Погружной скважинный насос 3OPC4/19 ";"1829";"Sumoto"
"1830";"Погружной скважинный насос SUMOTO 3OPC4/26";"1830";"Sumoto"
"1831";"Погружной скважинный насос SUMOTO 3OPC4/35  ";"1831";"Sumoto"
"1832";"Погружной скважинный насос SUMOTO 3OPC5/4";"1832";"Sumoto"
"1833";"Погружной скважинный насос SUMOTO 3OPC5/7";"1833";"Sumoto"
"1834";"Погружной скважинный насос SUMOTO 3OPC5/9";"1834";"Sumoto"
"1835";"Погружной скважинный насос SUMOTO 3OPC5/13";"1835";"Sumoto"
"1836";"Погружной скважинный насос SUMOTO 3OPC5/19    ";"1836";"Sumoto"
"1837";"Погружной скважинный насос SUMOTO 3OPC5/24";"1837";"Sumoto"
"1838";"Погружной скважинный насос SUMOTO 3OPC5/26    ";"1838";"Sumoto"
"1839";"Погружной скважинный насос SUMOTO 4SRM2/7 (220V)";"1839";"Sumoto"
"1840";"Погружной скважинный насос SUMOTO 4SRM2/10 (220V)";"1840";"Sumoto"
"1841";"Погружной скважинный насос SUMOTO 4SRM2/13 (220V)";"1841";"Sumoto"
"1842";"Погружной скважинный насос SUMOTO 4SRM2/20 (220V)";"1842";"Sumoto"
"1843";"Погружной скважинный насос SUMOTO 4SRM2/27 (220V)";"1843";"Sumoto"
"1844";"Погружной скважинный насос SUMOTO 4SRM2/39 (220V)";"1844";"Sumoto"
"1845";"Погружной скважинный насос SUMOTO 4SR2/7 (380V)";"1845";"Sumoto"
"1846";"Погружной скважинный насос SUMOTO 4SR2/10 (380V)";"1846";"Sumoto"
"1847";"Погружной скважинный насос SUMOTO 4SR2/13 (380V)";"1847";"Sumoto"
"1848";"Погружной скважинный насос SUMOTO 4SR2/20 (380V)";"1848";"Sumoto"
"1849";"Погружной скважинный насос SUMOTO 4SR2/27 (380V)";"1849";"Sumoto"
"1850";"Погружной скважинный насос SUMOTO 4SR2/40 (380V)";"1850";"Sumoto"
"1851";"Погружной скважинный насос SUMOTO OPC 4SRM4/5";"1851";"Sumoto"
"1852";"Погружной скважинный насос SUMOTO 4SRM4/7";"1852";"Sumoto"
"1853";"Погружной скважинный насос SUMOTO 4SRM4/9";"1853";"Sumoto"
"1854";"Погружной скважинный насос SUMOTO 4SRM4/14";"1854";"Sumoto"
"1855";"Погружной скважинный насос SUMOTO OPC 4SRM4/18";"1855";"Sumoto"
"1856";"Погружной скважинный насос SUMOTO OPC 4SRM4/26";"1856";"Sumoto"
"1857";"Погружной скважинный насос SUMOTO 4SR4/5";"1857";"Sumoto"
"1858";"Погружной скважинный насос SUMOTO 4SR4/7";"1858";"Sumoto"
"1859";"Погружной скважинный насос SUMOTO 4SR4/9";"1859";"Sumoto"
"1860";"Погружной скважинный насос SUMOTO 4SR4/14";"1860";"Sumoto"
"1861";"Погружной скважинный насос SUMOTO OPC 4SR4/18";"1861";"Sumoto"
"1862";"Погружной скважинный насос SUMOTO OPC 4SR4/26";"1862";"Sumoto"
"1863";"Погружной скважинный насос SUMOTO OPC 4SR4/35";"1863";"Sumoto"
"1864";"Погружной скважинный насос SUMOTO OPC 4SR4/46";"1864";"Sumoto"
"1865";"Погружной скважинный насос SUMOTO OPC 4SR4/60";"1865";"Sumoto"
"1866";"Погружной скважинный насос SUMOTO 4SRM6/7 (220V)";"1866";"Sumoto"
"1867";"Погружной скважинный насос SUMOTO 4SRM6/10  (220V)";"1867";"Sumoto"
"1868";"Погружной скважинный насос SUMOTO 4SRM6/14 (220V)";"1868";"Sumoto"
"1869";"Погружной скважинный насос SUMOTO 4SRM6/20 (220V)";"1869";"Sumoto"
"1870";"Погружной скважинный насос SUMOTO 4SR6/7";"1870";"Sumoto"
"1871";"Погружной скважинный насос SUMOTO 4SR6/10";"1871";"Sumoto"
"1872";"Погружной скважинный насос SUMOTO 4SR6/14";"1872";"Sumoto"
"1873";"Погружной скважинный насос SUMOTO 4SR6/20";"1873";"Sumoto"
"1874";"Погружной скважинный насос SUMOTO OPC 4SR6/27";"1874";"Sumoto"
"1875";"Погружной скважинный насос SUMOTO OPC 4SR6/36 ";"1875";"Sumoto"
"1876";"Погружной скважинный насос SUMOTO OPC 4SR6/49";"1876";"Sumoto"
"1877";"Погружной скважинный насос SUMOTO 4SRM8/4";"1877";"Sumoto"
"1878";"Погружной скважинный насос SUMOTO 4SRM8/6";"1878";"Sumoto"
"1879";"Погружной скважинный насос SUMOTO 4SRM8/8";"1879";"Sumoto"
